movieId,avg_rating,rating_count,rating_std,first_rated,last_rated,popularity_score
1,3.9209,215,0.8349,1996-04-12 15:19:00,2018-08-31 10:01:06,3.9016
2,3.4318,110,0.8817,1996-04-12 15:19:00,2018-06-25 04:42:03,3.4378
3,3.2596,52,1.0548,1996-08-06 07:44:31,2017-06-26 19:24:31,3.2998
4,2.3571,7,0.8522,1996-06-22 11:07:33,2009-03-22 22:14:15,3.0403
5,3.0714,49,0.9071,1996-04-12 15:19:00,2018-01-31 23:28:39,3.1465
6,3.9461,102,0.8172,1996-04-17 16:50:09,2018-07-03 17:06:27,3.9051
7,3.1852,54,0.9776,1996-06-08 13:44:52,2017-06-26 21:56:01,3.2362
8,2.875,8,1.126,1996-05-31 08:19:20,2007-02-21 04:08:12,3.2287
9,3.125,16,0.9747,1996-05-12 22:31:53,2017-06-26 19:22:40,3.2731
10,3.4962,132,0.8594,1996-04-18 11:38:34,2018-09-17 04:12:53,3.4966
11,3.6714,70,0.9004,1996-04-12 15:19:00,2018-08-11 01:01:37,3.6495
12,2.4211,19,1.2501,1996-06-27 07:31:51,2018-02-21 02:56:27,2.8026
13,3.125,8,0.6409,1996-06-17 14:41:27,2017-05-08 02:54:42,3.3376
14,3.8333,18,0.7071,1996-05-14 13:37:07,2005-07-08 12:54:07,3.712
15,3.0,13,1.2076,1996-05-18 20:05:34,2018-02-21 19:04:02,3.2226
16,3.9268,82,0.8858,1996-04-17 16:50:09,2018-08-10 03:42:33,3.8791
17,3.7761,67,1.1458,1996-04-17 16:50:09,2017-12-23 00:46:07,3.7393
18,3.7,20,0.909,1996-08-27 01:38:41,2018-07-29 20:47:11,3.6322
19,2.7273,88,1.0638,1996-05-12 22:22:55,2017-12-23 00:46:10,2.8089
20,2.5,15,0.982,1996-05-21 17:29:20,2017-06-26 19:20:13,2.9094
21,3.4944,89,0.8676,1996-04-17 16:50:09,2017-12-23 00:46:15,3.4951
22,3.2222,36,0.8233,1996-03-29 18:36:55,2018-08-11 00:26:11,3.2847
23,3.125,16,1.118,1996-04-18 11:46:45,2017-06-26 18:55:32,3.2731
24,3.125,28,1.0149,1996-07-14 13:26:41,2018-02-14 20:40:54,3.2268
25,3.625,76,1.1169,1996-04-17 16:50:09,2018-02-09 17:39:53,3.6102
26,3.5,13,0.6124,1996-05-14 07:45:37,2017-06-26 23:10:55,3.5007
27,3.3333,9,1.199,1996-10-10 18:58:51,2015-02-21 03:02:20,3.4234
28,4.2273,11,0.7862,1996-08-17 19:42:12,2015-07-04 17:42:07,3.8751
29,4.0132,38,0.826,1996-08-24 08:50:20,2017-06-26 18:16:27,3.9035
30,3.0,3,1.7321,2000-07-09 21:47:53,2002-12-09 02:05:01,3.389
31,3.1842,38,0.9893,1996-05-14 07:36:11,2018-07-03 18:33:18,3.2522
32,3.9831,177,0.7904,1996-04-17 16:50:09,2018-08-31 10:02:29,3.9564
34,3.6523,128,1.0416,1996-04-17 17:08:17,2018-09-17 04:12:48,3.641
36,3.8358,67,0.943,1996-04-17 16:50:09,2017-12-23 00:46:06,3.791
38,2.125,4,0.8539,2000-04-17 04:25:48,2014-12-28 19:31:53,3.1184
39,3.2933,104,1.0372,1996-04-17 17:08:17,2018-09-01 18:45:47,3.3122
40,4.25,2,1.0607,1996-12-15 22:26:16,2003-07-10 16:33:24,3.6226
41,3.7,15,0.6761,1996-06-10 09:27:58,2017-06-26 23:14:07,3.6189
42,3.0,7,0.8165,1996-08-06 07:30:37,2017-06-27 01:04:43,3.2994
43,3.1875,8,0.6512,1996-10-17 12:33:27,2018-02-23 00:50:48,3.3648
44,2.5435,46,1.0844,1996-05-14 07:36:33,2018-08-10 23:59:18,2.7197
45,3.3125,32,0.8304,1996-05-23 08:28:01,2017-06-26 22:37:20,3.3588
46,3.0667,15,1.1782,1996-05-14 07:44:52,2012-04-05 20:43:14,3.2444
47,3.9754,203,0.9224,1996-04-17 17:08:18,2018-08-10 03:38:45,3.9524
48,3.1471,68,1.0547,1996-03-29 18:36:56,2018-02-14 20:39:51,3.194
49,3.0,1,0.0,2000-11-22 20:37:33,2000-11-22 20:37:33,3.4574
50,4.2377,204,0.8009,1996-04-17 17:08:18,2018-09-17 04:11:56,4.2021
52,3.4643,28,0.8706,1996-04-17 16:50:09,2017-06-27 01:03:12,3.4744
53,5.0,2,0.0,1998-03-09 18:31:08,2000-07-09 22:00:03,3.7438
54,2.3333,3,1.5275,1996-10-17 12:30:02,2002-07-24 14:31:05,3.2394
55,4.0,1,0.0,1997-03-19 11:55:43,1997-03-19 11:55:43,3.5454
57,3.0625,8,0.8634,1996-08-17 18:30:44,2018-02-21 19:16:44,3.3103
58,4.027,37,0.92,1996-04-17 16:50:09,2010-10-01 03:40:54,3.912
60,3.2353,34,1.0242,1996-03-29 18:36:56,2018-02-20 09:18:30,3.2975
61,3.75,6,0.8803,1996-10-10 18:59:40,2018-02-22 19:30:17,3.5926
62,3.7062,80,1.0485,1996-04-12 15:19:00,2018-08-11 01:00:00,3.6827
63,2.7143,7,1.1495,1996-12-17 23:34:48,2012-07-14 01:08:01,3.1843
64,2.2,5,0.8367,1997-02-25 15:12:20,2001-01-21 04:39:48,3.0781
65,2.5323,31,1.0562,1996-10-17 12:24:30,2018-02-14 20:42:06,2.7753
66,2.5,9,1.118,1996-10-17 12:25:51,2008-01-24 07:11:02,3.0362
68,3.4,5,1.1402,1996-12-15 22:26:16,2007-02-18 16:43:23,3.4685
69,3.775,20,0.8955,1996-05-12 22:36:40,2017-06-26 22:14:03,3.6816
70,3.5091,55,1.016,1996-05-12 22:28:47,2018-07-03 17:07:31,3.5079
71,1.7,5,0.4472,1997-09-16 13:29:04,2006-06-21 08:11:06,2.9155
72,3.2143,7,1.2864,1996-04-17 17:08:17,2014-11-29 16:33:27,3.3858
73,3.4615,13,0.6911,1996-06-17 14:33:55,2018-02-23 21:29:56,3.4793
74,4.0,8,0.7559,1996-12-17 23:33:06,2004-11-11 15:25:32,3.7186
75,2.2,5,1.0954,1997-02-14 19:21:23,2018-02-23 02:41:53,3.0781
76,3.4,15,1.1982,1996-05-14 13:30:15,2017-06-26 23:07:37,3.4415
77,4.0,1,0.0,2000-03-31 05:55:06,2000-03-31 05:55:06,3.5454
78,3.3333,3,0.5774,1997-02-23 22:21:17,2000-06-20 16:29:41,3.4638
79,2.7647,17,1.2005,1996-10-16 12:58:37,2018-02-22 21:50:37,3.0439
80,4.0,2,0.0,2002-12-09 01:33:31,2007-02-13 23:27:52,3.5821
81,3.1071,14,0.7641,1996-12-17 23:35:20,2017-06-26 22:47:45,3.2749
82,3.875,8,1.482,1996-05-14 07:49:11,2010-07-18 18:10:39,3.6642
