userId,user_rating_count,user_avg_rating,user_rating_std
1,232,4.3664,0.8
2,29,3.9483,0.8056
3,39,2.4359,2.0906
4,216,3.5556,1.3142
5,44,3.6364,0.9904
6,314,3.4936,0.8506
7,152,3.2303,1.3296
8,47,3.5745,0.9723
9,46,3.2609,1.2725
10,140,3.2786,1.1757
11,64,3.7812,0.9338
12,32,4.3906,0.7266
13,31,3.6452,0.9848
14,48,3.3958,1.026
15,135,3.4481,1.1334
16,98,3.7245,0.552
17,105,4.2095,0.5085
18,502,3.7321,0.6322
19,703,2.6074,0.9273
20,242,3.5909,1.1648
21,443,3.2607,1.0035
22,119,2.5714,1.5436
23,121,3.6488,0.6146
24,110,3.65,0.5399
25,26,4.8077,0.3762
26,21,3.2381,0.6249
27,135,3.5481,1.0631
28,570,3.0202,0.7938
29,81,4.142,0.6857
30,34,4.7353,0.5537
31,50,3.92,1.0069
32,102,3.7549,0.8377
33,156,3.7885,1.0412
34,86,3.4186,1.3566
35,23,4.087,0.9002
36,60,2.6333,0.9909
37,21,4.1429,0.9103
38,78,3.2179,1.0525
39,100,4.0,1.0541
40,103,3.767,1.0404
41,217,3.2535,1.1448
42,440,3.5659,1.063
43,114,4.5526,0.6796
44,48,3.3542,1.1576
45,399,3.8759,0.9766
46,42,4.0,0.8554
47,140,3.0536,0.9758
48,33,4.0303,0.6607
49,21,4.2619,0.2559
50,310,2.7806,0.8468
51,359,3.7758,1.2414
52,130,4.4769,0.6314
53,20,5.0,0.0
54,33,3.0303,0.3941
55,25,2.84,1.7954
56,46,3.8043,0.7186
57,476,3.3929,1.0736
58,112,3.9018,1.0394
59,107,4.3551,0.964
60,22,3.7273,0.7025
61,39,4.0513,0.7052
62,366,4.082,0.7139
63,271,3.631,1.0392
64,517,3.7689,0.7447
65,34,4.0294,0.5357
66,345,4.0203,0.736
67,36,3.9722,0.7923
68,1260,3.2337,0.8967
69,46,4.3696,0.7989
70,62,4.3226,0.6279
71,35,3.6,1.1167
72,45,4.1556,0.5417
73,210,3.7119,1.0126
74,177,4.2712,0.644
75,69,3.2319,1.2735
76,119,3.084,1.2926
77,29,4.0,1.3229
78,61,3.1639,1.1787
79,64,4.2031,0.8578
80,167,4.2605,0.4586
81,26,2.7692,1.1767
82,227,3.3811,0.768
83,118,3.3093,1.2792
84,293,3.6894,0.7602
85,34,3.7059,1.3602
86,70,3.9286,0.5336
87,21,3.9524,0.7731
88,56,4.0357,1.1396
89,518,3.473,1.1928
90,54,4.0741,0.8208
91,575,3.3957,0.9715
92,24,3.9375,0.6479
93,97,4.2887,0.5944
94,56,3.0357,1.0084
95,168,4.0625,0.7989
96,78,3.8846,1.2377
97,36,4.1944,0.8218
98,92,3.913,1.1134
99,53,3.8679,1.2095
100,148,3.9459,0.6755
101,61,3.5574,1.0571
102,56,3.3571,0.7961
103,377,3.9072,0.7885
104,273,3.5073,0.7693
105,722,4.1163,0.6128
106,33,4.4394,0.7882
107,34,3.9118,0.7535
108,76,3.9868,1.0893
109,127,3.2205,0.6891
110,51,3.7255,0.9398
111,646,3.3398,1.0709
112,65,3.5923,1.4681
113,150,3.6467,1.2269
114,31,3.4355,0.8826
115,112,3.7679,1.1777
116,87,3.4368,1.0751
117,165,3.3394,0.6198
118,22,3.8182,0.8528
119,215,4.1767,0.5649
120,22,3.4091,0.9591
121,58,3.2931,0.8379
122,292,4.5462,0.4926
123,56,4.0357,0.3675
124,50,3.99,0.836
125,360,3.8597,0.8024
126,38,3.2895,1.3337
127,22,3.1136,1.3622
128,33,4.3636,0.699
129,140,3.9214,0.6065
130,28,3.5357,0.8812
131,69,3.442,0.7099
132,347,3.0389,0.7711
133,35,3.0,0.686
134,35,3.5714,0.7391
135,279,3.6308,1.044
136,111,3.3153,1.2791
137,141,3.9787,0.7143
138,22,3.5227,1.5997
139,194,2.1443,0.8946
140,608,3.4992,0.8075
141,168,3.5387,0.7502
142,38,3.8158,0.766
143,71,3.3239,1.3285
144,128,3.6289,0.7078
145,23,3.3478,0.7751
146,32,3.1406,0.9857
147,20,3.375,1.4407
148,48,3.7396,0.6841
149,58,2.7241,1.2814
150,26,3.5769,0.7027
151,59,3.5424,0.8773
152,63,4.0238,0.6564
153,179,2.2179,1.432
154,34,4.3824,1.2064
155,46,3.6087,0.7142
156,398,3.6922,0.9193
157,21,3.4762,1.0305
158,26,3.4231,0.7306
159,97,3.2732,1.1815
160,437,2.7082,1.5463
161,39,3.8333,1.1317
162,38,4.2368,0.8198
163,23,3.0,0.6742
164,36,4.25,0.8742
165,65,3.5385,0.7305
166,190,4.0737,0.6443
167,173,3.4393,1.1325
168,94,4.4628,0.7304
169,269,4.2491,0.601
170,50,3.34,0.7174
171,82,4.6341,0.5986
172,26,3.8269,0.5467
173,25,3.48,0.9183
174,67,3.6567,0.9932
175,24,3.5417,1.6934
176,36,4.0556,0.86
177,904,3.3756,0.9592
178,77,4.0909,0.81
179,69,3.7826,0.7044
180,24,3.5625,0.7845
181,118,2.9407,0.9272
182,977,3.5113,1.0012
183,57,3.8246,0.8477
184,134,3.7052,1.0677
185,47,3.5319,0.929
186,226,4.0796,0.5757
187,258,3.7752,1.0419
188,48,4.3958,0.7646
189,20,4.1,0.3479
190,66,3.9091,0.7228
191,85,3.7412,1.4322
192,22,4.0455,0.7854
193,35,3.8,1.086
194,20,3.475,0.5955
195,187,3.5294,1.0333
196,32,3.9375,0.8776
197,35,3.8571,1.0612
198,230,3.4913,1.1812
199,363,3.3953,1.0212
200,334,3.8099,0.8386
201,110,4.1,0.9857
202,403,3.8189,0.736
203,45,3.8444,0.9875
204,83,3.9578,1.0627
205,27,3.8704,0.6444
206,25,4.04,0.8406
207,20,2.875,1.4589
208,26,3.3077,0.9703
209,35,4.2429,0.9024
210,138,4.0797,0.8613
211,89,3.9045,0.7829
212,248,3.5907,0.6077
213,84,3.8274,0.5677
214,22,2.8636,0.4676
215,98,3.9082,0.8626
216,164,3.6646,1.0108
217,613,2.7618,0.8738
218,26,3.3654,1.0446
219,528,3.1657,1.0918
220,207,3.9638,1.045
221,331,4.1269,0.7521
222,250,3.166,0.8259
223,75,3.2733,0.9942
224,54,4.2593,1.2467
